scope,baseline_risk_exposure,optimized_risk_exposure,risk_reduction_pct,baseline_leadtime_min,optimized_leadtime_min,leadtime_reduction_pct,baseline_energy_cost,optimized_energy_cost,energy_reduction_pct
ALL,716845.0333333332,50046.45333333333,93.01851153231584,2188.121,1712.827,21.72155927391584,18660305.39,17957252.28,3.7676398928431434
M01,170057.27333333335,10091.780000000002,94.06565811494644,2731.4056603773583,2147.693396226415,21.370398129375634,4897397.24,4948996.259999998,-1.0536008714702034
M02,178972.68,9454.966666666667,94.71708940902786,2636.1238095238095,2045.895238095238,22.390017088582447,4758728.600000001,4359748.61,8.384171982407237
M03,70165.81333333332,10731.566666666666,84.7054196953654,1309.47311827957,1103.3279569892472,15.7426035260016,2173549.04,2162906.74,0.4896277840595588
M04,155970.92,9817.619999999999,93.70548048315673,2134.929648241206,1660.748743718593,22.210610308084476,3587661.5,3445153.0300000003,3.972182715677043
M05,141678.34666666668,9950.52,92.97668258127612,2005.5129533678758,1513.8341968911918,24.516359051733044,3242969.01,3040447.64,6.24493695053841
