scope,baseline_risk_exposure,optimized_risk_exposure,risk_reduction_pct,baseline_leadtime_min,optimized_leadtime_min,leadtime_reduction_pct,baseline_energy_cost,optimized_energy_cost,energy_reduction_pct
ALL,716845.0333333332,52647.346666666665,92.65568648472652,2188.121,1860.339,14.98006737287381,18660305.39,20889599.12,-11.946716216095114
M01,170057.27333333335,10539.986666666666,93.80209592917147,2731.4056603773583,2287.948113207547,16.235506633187,4897397.24,5510653.819999999,-12.522091836683419
M02,178972.68,10105.293333333335,94.35372296300567,2636.1238095238095,2223.842857142857,15.639665742992056,4758728.600000001,5090760.88,-6.977331718392163
M03,70165.81333333332,10329.36,85.278642818649,1309.47311827957,1173.2043010752689,10.406385232507533,2173549.04,2441544.16,-12.32984004814541
M04,155970.92,10919.613333333333,92.99894279437902,2134.929648241206,1800.5929648241206,15.66031385120901,3587661.5,4087738.22,-13.938793278016897
M05,141678.34666666668,10753.093333333334,92.41020693258606,2005.5129533678758,1718.9274611398964,14.289884876919581,3242969.01,3758902.04,-15.90928030484017
