scope,baseline_risk_exposure,optimized_risk_exposure,risk_reduction_pct,baseline_leadtime_min,optimized_leadtime_min,leadtime_reduction_pct,baseline_energy_cost,optimized_energy_cost,energy_reduction_pct
ALL,716845.0333333332,57024.36,92.0450924051414,2188.121,1856.03,15.176994325268122,18660305.39,10556886.39,43.42597203335481
M01,170057.27333333335,11014.113333333335,93.52329181960697,2731.4056603773583,2450.5235849056603,10.283425839898593,4897397.24,3044029.3099999996,37.84393707870837
M02,178972.68,11167.826666666668,93.76003831050267,2636.1238095238095,2204.4285714285716,16.37613667975707,4758728.600000001,2556597.9499999993,46.27560920368523
M03,70165.81333333332,10580.146666666667,84.92122279491855,1309.47311827957,1118.731182795699,14.566311657811976,2173549.04,1204961.4599999997,44.56249029467494
M04,155970.92,13105.599999999999,91.59740802965065,2134.929648241206,1782.7537688442212,16.49590091585049,3587661.5,1965113.7799999998,45.22577506266966
M05,141678.34666666668,11156.673333333332,92.12535041816787,2005.5129533678758,1610.0362694300518,19.719477915796876,3242969.01,1786183.89,44.921339535094724
